"element"               , "spaced"
"lineage"               , "( Process+ | procstep+ )"
"metadata"              , "( ( Esri | dataIdInfo | dataqual | distInfo | distinfo | eainfo | idinfo | mdChar | mdDateSt | mdHrLv | mdHrLvName | mdLang | mdStanName | mdStanVer | metainfo | refSysInfo | spatRepInfo | spdoinfo | spref )*, ( ( geodatabaseDesigner, creationDate, creator, geodatabase ) | ( CarteAssociation, Version ) )? )"
"geoEle"                , "( GeoBndBox )"
"refSysInfo"            , "( RefSystem )"
"VectSpatRep"           , "( geometObjs | topLvl )+"
"dataExt"               , "( geoEle )"
"FieldArray"            , "( Field )*"
"stfield"               , "( stfldnm, ( stflddd | stflddv )+ )"
"SubtypeFieldInfo"      , "( FieldName, DomainName?, DefaultValue? )"
"refSysID"              , "( identCode, idCodeSpace, idVersion )"
"planar"                , "( planci )"
"metextns"              , "( onlink, metprof )"
"GeoBndBox"             , "( eastBL | exTypeCode | northBL | southBL | westBL )+"
"dataLang"              , "( languageCode, countryCode )"
"GeometryDef"           , "( AvgNumPoints, GeometryType, HasM, HasZ, SpatialReference, GridSize0 )"
"mdChar"                , "( CharSetCd )"
"metc"                  , "( cntinfo )"
"geodetic"              , "( horizdn, ellips, semiaxis, denflat )"
"descript"              , "( abstract | langdata | purpose )+"
"distFormat"            , "( formatName )"
"onLineSrc"             , "( linkage | protocol | orDesc )+"
"spatRepInfo"           , "( VectSpatRep )"
"Metadata"              , "( XmlDoc )"
"bounding"              , "( westbc, eastbc, northbc, southbc )"
"coordrep"              , "( absres, ordres )"
"distInfo"              , "( distFormat | distributor )+"
"distinfo"              , "( resdesc )"
"distributor"           , "( distorTran, distorFormat? )"
"planci"                , "( plance, ( coordrep | plandu )+ )"
"keywords"              , "( theme, place )"
"CodedValue"            , "( Name, Code )"
"Index"                 , "( Name, IsUnique, IsAscending, Fields )"
"RelationshipClassNames", "( Name )?"
"idinfo"                , "( accconst | citation | descript | keywords | native | natvform | ptcontac | spdom | status | timeperd | useconst )+"
"esriterm"              , "( efeatyp, efeageom, esritopo, efeacnt, spindex, linrefer )"
"coordRef"              , "( type, geogcsn, csUnits, projcsn, peXml )"
"geodatabase"           , "( connectionProperty )"
"dataIdInfo"            , "( envirDesc, dataLang, idCitation, ( dataExt | geoBox | spatRpType )+ )"
"eainfo"                , "( detailed )+"
"Domains"               , "( Domain )+"
"citeinfo"              , "( pubdate?, ( onlink | ftname | geoform | origin | pubinfo | title )+ )"
"stflddd"               , "( domname, domdesc, domtype, mrgtype, splttype, domowner, domfldtp )"
"SpatialReference"      , "( WKT, XOrigin, YOrigin, XYScale, ZOrigin, ZScale, MOrigin, MScale, XYTolerance, ZTolerance, MTolerance, HighPrecision, WKID, LatestWKID, VCSWKID, LatestVCSWKID )"
"Domain"                , "( DomainName, FieldType, MergePolicy, SplitPolicy, Description, Owner, CodedValues )"
"Subtype"               , "( SubtypeName, SubtypeCode, FieldInfos )"
"cntinfo"               , "( cntorgp, cntaddr, cntvoice, hours )"
"timeinfo"              , "( sngdate )"
"presForm"              , "( PresFormCd )"
"topLvl"                , "( TopoLevCd )"
"Field"                 , "( Name, Type, IsNullable, Length, Precision, Scale, Required?, Editable?, DomainFixed?, GeometryDef?, AliasName?, ModelName?, DefaultValue?, Domain? )"
"esri:Workspace"        , "( WorkspaceDefinition, WorkspaceData )"
"Children"              , "( DataElement )+"
"pubinfo"               , "( pubplace, publish )"
"lboundng"              , "( leftbc, rightbc, bottombc, topbc )"
"citation"              , "( citeinfo )"
"detailed"              , "( enttyp, ( subtype | attr )* )"
"geometryDef"           , "( grid )"
"OriginClassKeys"       , "( RelationshipClassKey )+"
