score,name,asParent,distinctChildTypes,total,textOnly
7784,CodedValue,1945,2,1945,0
3360,Field,833,14,833,0
2618,attr,650,9,650,0
2258,stfield,563,3,563,0
2086,stflddd,518,7,518,0
2066,SubtypeFieldInfo,515,3,515,0
1042,Domain,257,7,257,0
1021,CodedValues,254,1,257,0
518,domdesc,0,0,518,0
518,domowner,0,0,518,0
448,SpatialReference,104,16,104,0
418,Fields,104,1,104,0
415,FieldArray,103,1,104,0
372,procstep,91,4,91,0
320,Index,78,4,78,0
257,Owner,0,0,257,0
250,detailed,61,3,61,0
250,enttyp,61,3,61,0
245,Description,0,0,257,4
228,DataElement,28,58,28,0
214,attrdomv,53,1,53,0
212,GeometryDef,50,6,50,0
196,lineage,48,2,48,0
194,item,47,3,47,0
188,esriterm,44,6,44,0
180,geometObjs,44,2,44,0
178,geoObjTyp,44,1,44,0
170,metadata,30,25,30,0
164,subtype,39,4,39,0
162,Subtype,39,3,39,0
162,GeoBndBox,38,5,38,0
158,FieldInfos,39,1,39,0
154,dataExt,38,1,38,0
154,geoEle,38,1,38,0
138,cntaddr,32,5,32,0
136,cntinfo,32,4,32,0
136,Esri,29,10,29,0
132,cntorgp,32,2,32,0
122,Extent,27,7,27,0
120,DataProperties,28,4,28,0
118,Metadata,29,1,29,0
118,XmlDoc,29,1,29,0
118,itemProps,27,5,27,0
112,itemLocation,27,2,27,0
112,dataIdInfo,25,6,25,0
110,coordRef,25,5,25,0
106,ExtensionProperties,26,1,26,0
106,Indexes,26,1,26,0
106,refSysID,25,3,25,0
104,VectSpatRep,25,2,25,0
104,dataLang,25,2,25,0
104,distInfo,25,2,25,0
104,idCitation,25,2,25,0
104,mdLang,25,2,25,0
104,spdoinfo,25,2,25,0
103,IndexArray,25,1,26,0
102,RefSystem,25,1,25,0
102,distFormat,25,1,25,0
102,mdHrLv,25,1,25,0
102,presForm,25,1,25,0
102,ptvctinf,25,1,25,0
102,refSysInfo,25,1,25,0
102,spatRepInfo,25,1,25,0
102,spatRpType,25,1,25,0
102,topLvl,25,1,25,0
102,idinfo,20,11,20,0
94,eainfo,23,1,23,0
94,nativeExtBox,21,5,21,0
94,citeinfo,20,7,20,0
90,mdChar,22,1,22,0
86,onLineSrc,20,3,20,0
84,dataqual,20,2,20,0
84,distributor,20,2,20,0
82,citation,20,1,20,0
82,distorTran,20,1,20,0
82,metainfo,17,7,17,0
78,geoBox,17,5,17,0
76,bounding,17,4,17,0
76,geodetic,17,4,17,0
76,lboundng,17,4,17,0
74,descript,17,3,17,0
74,horizsys,17,3,17,0
74,planci,17,3,17,0
72,altsys,17,2,17,0
72,coordrep,17,2,17,0
72,cordsysn,17,2,17,0
72,spdom,17,2,17,0
72,spref,17,2,17,0
70,distinfo,17,1,17,0
70,distorFormat,17,1,17,0
70,planar,17,1,17,0
70,vertdef,17,1,17,0
68,keywords,16,2,16,0
68,pubinfo,16,2,16,0
68,status,16,2,16,0
68,theme,16,2,16,0
68,timeperd,16,2,16,0
66,metc,16,1,16,0
66,place,16,1,16,0
66,ptcontac,16,1,16,0
66,timeinfo,16,1,16,0
64,metextns,15,2,15,0
63,sngdate,15,1,16,0
54,relatedItems,13,1,13,0
50,Subtypes,12,1,12,0
50,countryCode,0,0,50,0
50,languageCode,0,0,50,0
44,GeoObjTypCd,0,0,44,0
44,efeageom,0,0,44,0
34,RelationshipClassNames,2,1,26,0
28,ConfigurationKeyword,0,0,28,0
26,ControllerMemberships,0,0,26,0
26,CreatedAtFieldName,0,0,26,0
26,CreatorFieldName,0,0,26,0
26,EXTCLSID,0,0,26,0
26,EditedAtFieldName,0,0,26,0
26,EditorFieldName,0,0,26,0
26,PropertyArray,0,0,26,0
26,RasterFieldName,0,0,26,0
25,field,1,1,20,0
25,PresFormCd,0,0,25,0
25,ScopeCd,0,0,25,0
25,SpatRepTypCd,0,0,25,0
25,TopoLevCd,0,0,25,0
22,CharSetCd,0,0,22,0
16,AreaFieldName,0,0,25,3
16,attracc,0,0,16,0
14,RelationshipClassKey,2,3,2,0
14,WorkspaceDefinition,1,5,1,0
10,Children,2,1,2,0
10,index,2,1,2,0
10,objectClass,1,3,1,0
8,geodatabaseDesigner,1,2,1,0
8,{http://www.esri.com/schemas/ArcGIS/10}Workspace,1,2,1,0
6,DatasetDefinitions,1,1,1,0
6,DestinationClassNames,1,1,1,0
6,Domains,1,1,1,0
6,OriginClassKeys,1,1,1,0
6,OriginClassNames,1,1,1,0
6,geodatabase,1,1,1,0
6,geometryDef,1,1,1,0
2,ClassKeyName,0,0,2,0
1,RelationshipRules,0,0,1,0
1,WorkspaceData,0,0,1,0
1,connectionProperty,0,0,1,0
1,creationDate,0,0,1,0
1,creator,0,0,1,0
1,grid,0,0,1,0
-2,BackwardPathLabel,0,0,1,1
-2,Cardinality,0,0,1,1
-2,ClassKey,0,0,1,1
-2,ForwardPathLabel,0,0,1,1
-2,IsAttachmentRelationship,0,0,1,1
-2,IsAttributed,0,0,1,1
-2,IsComposite,0,0,1,1
-2,IsReflexive,0,0,1,1
-2,KeyType,0,0,1,1
-2,LayerFile,0,0,1,1
-2,LengthFieldName,0,0,25,9
-2,Notification,0,0,1,1
-2,WorkspaceType,0,0,1,1
-2,ZMax,0,0,1,1
