Address City  , Location Name                                            , Provider Name                                         , Main or Secondary , Location Type                      , Phone Number, Address Line 1               , Address Line 2, Address Zip Code, Primary Care Type                       , Monday Hours      , Tuesday Hours     , Wednesday Hours   , Thursday Hours    , Friday Hours      , Practitioner First Name, Practitioner Middle Name, Practitioner Last Name, Practitioner Gender, Provider Type                             , Telehealth Participant
Englewood     , "Englewood Pediatrics, P.A."                             , Englewood Pediatrics P.A.                             , Main Location     ,                                    , 941-474-5093, 3670 N Access Rd             ,               ,            34224,                                         ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    ,                                           , Participating Yes
Englewood     , "Florida Cancer Specialists & Research Institute, LLC"   , "Florida Cancer Specialists & Research Institute, LLC", Secondary Location, Lab or Other Facility              , 941-460-1300, 714 Doctors Dr               ,               ,            34223, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 
North Port    , "CAN Community Health, Inc."                             , "CAN Community Health, Inc."                          , Secondary Location, Lab or Other Facility              , 941-888-2144, 14243 Tamiami Trl            ,               ,            34287, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , 
North Port    , CenterPlace Health                                       , "Centerplace Health, Inc."                            , Secondary Location, "Facilities, Clinic or Urgent Care", 941-529-0200, 6950 Outreach Way            ,               ,            34287, Federally Qualified Health Center (FQHC),                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , "Behavioral Health, Medical Facilities"   , Participating Yes
North Port    , CenterPlace Health                                       ,                                                       , Secondary Location, Primary Care                       , 941-529-0200, 6950 Outreach Way            ,               ,            34287, Internal Medicine (General Medical Care), 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, FRED                   ,                         , BEARISON              , M                  , Medical Professionals                     , Participating Yes Telehealth and in Person Y
North Port    , CenterPlace Health                                       , "Centerplace Health, Inc."                            , Secondary Location,                                    , 941-529-0200, 6950 Outreach Way            ,               ,            34287,                                         ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    ,                                           , Participating Yes
North Port    , CenterPlace Health                                       , "CenterPlace Health, Inc."                            , Secondary Location, Lab or Other Facility              , 941-529-0200, 6950 Outreach Way            ,               ,            34287, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , Participating Yes
North Port    , "CenterPlace Health, Inc."                               ,                                                       , Main Location     , Primary Care                       , 941-529-0200, 6950 Outreach Way            ,               ,            34287, Family Medicine                         , 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, 8:00 AM - 12:00 PM, Jose                   , Luis                    , Huerta Suarez         , M                  , Medical Professionals                     , Participating No
North Port    , "CenterPlace Health, Inc."                               , "CenterPlace Health, Inc."                            , Secondary Location, Lab or Other Facility              , 941-529-0200, 6950 Outreach Way            ,               ,            34287, Multi-Specialty Group                   ,                   ,                   ,                   ,                   ,                   ,                        ,                         ,                       ,                    , Medical Facilities                        , Participating Yes
North Port    , "CenterPlace Health, Inc."                               ,                                                       , Secondary Location, Primary Care                       , 941-529-0200, 6950 Outreach Way            ,               ,            34287, Internal Medicine (General Medical Care), 7:00 AM - 11:30 AM, 7:00 AM - 11:30 AM, 7:00 AM - 11:30 AM, 7:00 AM - 11:30 AM, 7:00 AM - 11:30 AM, Jerry                  , C                       , Maliot                , M                  , Medical Professionals                     , Participating Yes Telehealth and in Person Y
