"CreaDate", "Creation Date"
"CreaTime", "Creation Time"
"SyncOnce", "Synchronize Once"
"SyncDate", "Synchronization Date"
"SyncTime", "Synchronization Time"
"ModDate", "Modification Date"
"ModTime", "Modification Time"
"DataProperties", "Data Properties"
"stcode", "Subtype Code"
"stname", "Subtype Name"
"idinfo", "Identification Information"
"citation", "Citation"
"citeinfo", "Citation Information"
"descript", "Description"
"abstract", "Abstract"
"purpose", "Purpose"
"langdata", "Language of Dataset"
"timeperd", "Time Period of Content"
"timeinfo", "Time Period Information"
"current", "Currentness Reference"
"status", "Status"
"progress", "Progress"
"update", "Maintenance and Update Frequency"
"spdom", "Spatial Domain"
"bounding", "Bounding Coordinates"
"westbc", "West Bounding Coordinate"
"eastbc", "East Bounding Coordinate"
"northbc", "North Bounding Coordinate"
"southbc", "South Bounding Coordinate"
"lboundng", "Local Bounding Coordinates"
"topbc", "Top Bounding Coordinate"
"bottombc", "Bottom Bounding Coordinate"
"leftbc", "Left Bounding Coordinate"
"rightbc", "Right Bounding Coordinate"
"keywords", "Keywords"
"theme", "Theme"
"themekt", "Theme Keyword Thesaurus"
"themekey", "Theme Keyword"
"place", "Place"
"placekey", "Place Keyword"
"accconst", "Access Constraints"
"useconst", "Use Constraints"
"ptcontac", "Point of Contact"
"cntinfo", "Contact Information"
"native", "Native Dataset Environment"
"natvform", "Native Dataset Format"
"dataqual", "Data Quality Information"
"attracc", "Attribute Accuracy"
"lineage", "Lineage"
"procstep", "Process Step"
"procdesc", "Process Description"
"srcused", "Source Used Citation Abbreviation"
"procdate", "Process Date"
"proctime", "Process Time"
"spdoinfo", "Spatial Data Organization Information"
"direct", "Direct Spatial Reference Method"
"ptvctinf", "Point and Vector Object Information"
"esriterm", "ESRI Terms Description"
"efeatyp", "ESRI Feature Type"
"efeageom", "ESRI Feature Geometry"
"esritopo", "ESRI Topology"
"efeacnt", "ESRI Feature Count"
"spindex", "Spatial Index"
"linrefer", "Linear Referencing"
"spref", "Spatial Reference Information"
"horizsys", "Horizontal Coordinate System Definition"
"cordsysn", "Coordinate System Name"
"projcsn", "Projected Coordinate System Name"
"geogcsn", "Geographic Coordinate System Name"
"planar", "Planar"
"planci", "Planar Coordinate Information"
"plance", "Planar Coordinate Encoding Method"
"coordrep", "Coordinate Representation"
"absres", "Abscissa Resolution"
"plandu", "Planar Distance Units"
"geodetic", "Geodetic Model"
"horizdn", "Horizontal Datum Name"
"ellips", "Ellipsoid Name"
"semiaxis", "Semi-Major Axis"
"denflat", "Denominator of Flattening Ratio"
"vertdef", "Vertical Coordinate System Definition"
"altsys", "Altitude System Definition"
"altenc", "Altitude Encoding Method"
"eainfo", "Entity and Attribute Information"
"enttyp", "Entity Type"
"enttypl", "Entity Type Label"
"enttypt", "Entity Type Type"
"enttypc", "Entity Type Count"
"attr", "Attribute"
"attrlabl", "Attribute Label"
"attalias", "Attribute Alias"
"attrdef", "Attribute Definition"
"attrdefs", "Attribute Definition Source"
"attrtype", "Attribute Type"
"attwidth", "Attribute Width"
"atprecis", "Attribute Precision"
"attscale", "Attribute Scale"
"attrdomv", "Attribute Domain Values"
"udom", "Unrepresentable Domain"
"subtype", "Subtype Information"
"stfield", "Subtype Attribute"
"stfldnm", "Subtype Attribute Name"
"stflddv", "Subtype Default Value"
"stflddd", "Attribute Defined Domain"
"domname", "Domain Name"
"domdesc", "Domain Description"
"domowner", "Domain Owner"
"domfldtp", "Domain Attribute Type"
"domtype", "Domain Type"
"splttype", "Split Rule"
"distinfo", "Distribution Information"
"resdesc", "Resource Description"
"metainfo", "Metadata Reference Information"
"metd", "Metadata Date"
"langmeta", "Language of Metadata"
"metc", "Metadata Contact"
"metstdn", "Metadata Standard Name"
"metstdv", "Metadata Standard Version"
"mettc", "Metadata Time Convention"
"metextns", "Metadata Extensions"
"onlink", "Online Linkage"
"metprof", "Profile Name"
"origin", "Originator"
"pubdate", "Publication Date"
"title", "Title"
"ftname", "File or Table Name"
"geoform", "Geospatial Data Presentation Form"
"pubinfo", "Publication Information"
"pubplace", "Publication Place"
"publish", "Publisher"
"sngdate", "Single Date/Time"
"caldate", "Calendar Date"
"cntper", "Contact Person"
"cntorg", "Contact Organization"
"cntorgp", "Contact Organization Primary"
"cntper", "Contact Organization"
"cntorg", "Contact Person"
"cntaddr", "Contact Address"
"addrtype", "Address Type"
"address", "Address"
"city", "City"
"state", "State or Province"
"postal", "Postal Code"
"cntvoice", "Contact Voice Telephone"
"hours", "Hours of Service"
