Long Name	Short Name	Synchronized	Editable	Visibile in StyleSheet
Esri	Esri			
Metadata ID	MetaID	S		
Creation Date	CreaDate	S		
Creation Time	CreaTime	S		
Synchronize Once	SyncOnce	S		
Synchronization Date	SyncDate	S		
Synchronization Time	SyncTime	S		
Modification Date	ModDate	S		E
Modification Time	ModTime	S		E
Published Document ID	PublishedDocID			
Publish Status	PublishStatus			
ArcIMS Server	Server	S		
ArcIMS Service	Service	S		
ArcIMS Service Type	ServiceType	S		
ArcIMS Feature Class Type	ServiceFCType	S		
ArcIMS Feature Class Name	ServiceFCName	S		
Data Properties	DataProperties			
Topology Information	topoinfo			
Topology Properties	topoProps			
Topology Name	topoName	S		F
Cluster Tolerance	clusterTol	S		E,F
Maximum Error Count	maxErrors	S		E,F
Topology Rule	topoRule			
Topology Rule ID	topoRuleID	S		E,F
Topology Rule Name	topoRuleName	S		F
Topology Rule Type	topoRuleType	S		E,F
RuleHelp	ruleHelp	S		F
Topology Rule Origin	topoRuleOrigin			
Feature Class Name	fcname	S		E,F
Subtype Code	stcode	S		E,F
Subtype Name	stname	S		E,F
All Origin Subtypes	allOriginSubtypes	S		E,F
Topology Rule Destination	topoRuleDest			
Feature Class Name	fcname	S		E,F
Subtype Code	stcode	S		E,F
Subtype Name	stname	S		E,F
All Destination Subtypes	allDestSubtypes	S		E,F
Synchronize Automatically	Sync		P	
Geocoding Information	RematchLocator			
Identification Information	idinfo			
Citation	citation			
Citation Information	citeinfo			
See Citation Information below.		S	Y	G,Q,E,C,F
Description	descript			
Abstract	abstract	H	Y	G,Q,E,C,F
Purpose	purpose	H	Y	G,Q,E,C,F
Supplemental Information	supplinf		Y	G,Q,E,C,F
Language of Dataset	langdata	S	Y	F
Time Period of Content	timeperd			
Time Period Information	timeinfo			
See Time Period Information below.		H1	Y	G,E,C,F
Currentness Reference	current	H	Y	Q,E,C,F
Status	status			
Progress	progress	H	Y	G,E,C,F
Maintenance and Update Frequency	update	H	Y	G,E,C,F
Spatial Domain	spdom			
Bounding Coordinates	bounding			
West Bounding Coordinate	westbc	S2	Y	G,Q,E,C,F
East Bounding Coordinate	eastbc	S2	Y	G,Q,E,C,F
North Bounding Coordinate	northbc	S2	Y	G,Q,E,C,F
South Bounding Coordinate	southbc	S2	Y	G,Q,E,C,F
Local Bounding Coordinates	lboundng			
Top Bounding Coordinate	topbc	S		E,F
Bottom Bounding Coordinate	bottombc	S		E,F
Left Bounding Coordinate	leftbc	S		E,F
Right Bounding Coordinate	rightbc	S		E,F
Minimum Altitude	minalti	S	Y	E,F
Maximum Altitude	maxalti	S	Y	E,F
Altitude Units	altunits		Y	F
Dataset G-Polygon	dsgpoly			
Dataset G-Polygon Outer G-Ring	dsgpolyo			
G-Ring	gring			C,F
G-Ring Point	grngpoin			
