Polyconic	polycon	S		F
Longitude of Central Meridian	longcm	S	Y	Q,E,C,F
Latitude of Projection Origin	latprjo	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Robinson	robinson	S		F
Longitude of Projection Center	longpc	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Sinusoidal	sinusoid	S		F
Longitude of Central Meridian	longcm	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Space Oblique Mercator (Landsat)	spaceobq			F
Landsat Number	landsat		Y	Q,E,C,F
Path Number	pathnum		Y	Q,E,C,F
False Easting	feast		Y	Q,E,C,F
False Northing	fnorth		Y	Q,E,C,F
Stereographic	stereo	S		F
Longitude of Projection Center	longpc	S	Y	Q,E,C,F
Latitude of Projection Center	latprjc	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
Transverse Mercator	transmer	S		F
Scale Factor at Central Meridian	sfctrmer	S	Y	Q,E,C,F
Longitude of Central Meridian	longcm	S	Y	Q,E,C,F
Latitude of Projection Origin	latprjo	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
van der Grinten	vdgrin	S		F
Longitude of Central Meridian	longcm	S	Y	Q,E,C,F
False Easting	feast	S	Y	Q,E,C,F
False Northing	fnorth	S	Y	Q,E,C,F
*    Behrmann	behrmann	S3		F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Bonne	bonne	S3		F
Standard Parallel	stdparll	S	Y	E,F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
