TriG                 , ".trig"              , Store, "Tri GWriter"
"GZipped Trig"       , ".trig.gz"           , Store, "GZipped Tri GWriter"
TriX                 , ".xml"               , Store, "Tri XWriter"
"GZipped TriX"       , ".xml.gz"            , Store, "GZipped Tri XWriter"
"RDF/XML"            , ".rdf .owl"          , Graph, "Rdf Xml Writer Pretty Rdf Xml Writer"
"GZipped RDF/XML"    , ".rdf.gz"            , Graph, "GZipped Rdf Xml Writer"
"RDF/JSON"           , ".rj .json"          , Graph, "Rdf Json Writer"
"GZipped RDF/JSON"   , ".rj.gz .json.gz"    , Graph, "GZipped Rdf Json Writer"
"JSON-LD"            , ".jsonld .json"      , Store, "Json Ld Writer"
"GZipped JSON-LD"    , ".jsonld.gz .json.gz", Store, "GZipped Json Ld Writer"
"HTML + RDFa"        , ".html .xhtml"       , Graph, "Html Writer"
"GZipped HTML + RDFa", ".html.gz .xhtml.gz" , Graph, "GZipped Rdf AWriter"
"CSV (Triples)"      , ".triples.csv"                   , Graph, "Csv Writer"
"CSV (Quads)"        , ".quads.csv"                   , Store, "Csv Store Writer"
"TSV (Triples)"      , ".triples.tsv"                   , Graph, "Tsv Writer"
"TSV (Quads)"        , ".quads.tsv"                   , Store, "Tsv Store Writer"
"GraphViz DOT"       , ""                   , Graph, "Graph Viz Writer"
GraphML              , ""                   , Graph, "Graph MLWriter"
