Id,Name,Category,ParsingName,RelativePath,ParentFolder
31c0dd25-9439-4f12-bf41-7ff4eda38722,3D Objects,,,3D Objects,5e6c858f-0e22-4760-9afe-ea3317b67173
008ca0b1-55b4-4c56-b8a8-4de4b299d3be,AccountPictures,,,Microsoft\Windows\AccountPictures,3eb685db-65f9-4cf6-a03a-e3ef65729f3d
de61d971-5ebc-4f02-a3a9-6c82895e5c04,AddNewProgramsFolder,,shell:::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{15eae92e-f17a-4431-9f28-805e482dafd4},,
724ef170-a42d-4fef-9f26-b60e846fba4f,Administrative Tools,,,Administrative Tools,a77f5d77-2e2b-44c3-a6a2-aba601054a51
3eb685db-65f9-4cf6-a03a-e3ef65729f3d,AppData,,,AppData\Roaming,
b2c5e279-7add-439f-b28c-c41fe1bbf672,AppDataDesktop,,,Desktop,f1b32785-6fba-4fcf-9d55-7b8e7f157091
7be16610-1f7f-44ac-bff0-83e15f2ffca1,AppDataDocuments,,,Documents,f1b32785-6fba-4fcf-9d55-7b8e7f157091
7cfbefbc-de1f-45aa-b843-a542ac536cc9,AppDataFavorites,,,Favorites,f1b32785-6fba-4fcf-9d55-7b8e7f157091
559d40a3-a036-40fa-af61-84cb430a4d34,AppDataProgramData,,,ProgramData,f1b32785-6fba-4fcf-9d55-7b8e7f157091
7ad67899-66af-43ba-9156-6aad42e6c596,AppMods,,,AppMods,5e6c858f-0e22-4760-9afe-ea3317b67173
a305ce99-f527-492b-8b1a-7e76fa98d6e4,AppUpdatesFolder,,::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{7b81be6a-ce2b-4676-a29e-eb907a5126c5}\::{d450a8a1-9568-45c7-9c0e-b4f9fb4537bd},,
a3918781-e5f2-4890-b3d9-a7e54332328c,Application Shortcuts,,,Microsoft\Windows\Application Shortcuts,f1b32785-6fba-4fcf-9d55-7b8e7f157091
1e87508d-89c2-42f0-8a7e-645a0f50ca58,AppsFolder,,shell:::{4234d49b-0245-4df3-b780-3893943456e1},,
9e52ab10-f80d-49df-acb8-4330f5687855,CD Burning,,,Microsoft\Windows\Burn\Burn,f1b32785-6fba-4fcf-9d55-7b8e7f157091
ee32e446-31ca-4aba-814f-a5ebd2fd6d5e,CSCFolder,,shell:::{BD7A2E7B-21CB-41b2-A086-B309680C6B7E}\*,,
352481e8-33be-4251-ba85-6007caedcf9d,Cache,,,Microsoft\Windows\INetCache,f1b32785-6fba-4fcf-9d55-7b8e7f157091
ab5fb87b-7ce2-4f83-915d-550846c9537b,Camera Roll,,,Camera Roll,33e28130-4e1e-4676-835a-98395c3bc3bb
2b20df75-1eda-4039-8097-38798227d5b7,CameraRollLibrary,,::{031E4825-7B94-4dc3-B131-E946B44C8DD5}\{2B20DF75-1EDA-4039-8097-38798227D5B7},CameraRoll.library-ms,1b3ea5dc-b587-4786-b4ef-bd1dc332aeae
edc0fe71-98d8-4f4a-b920-c8dc133cb165,Captures,,,Captures,18989b1d-99b5-455b-841c-ab7c74e4ddfc
df7266ac-9274-4867-8d55-3bd661de872d,ChangeRemoveProgramsFolder,,::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{7b81be6a-ce2b-4676-a29e-eb907a5126c5},,
d0384e7d-bac3-4797-8f14-cba229b392b5,Common Administrative Tools,,,Administrative Tools,0139d44e-6afe-49f2-8690-3dafcae6ffb8
62ab5d82-fdc1-4dc3-a9dd-070d1d495d97,Common AppData,,,,
c4aa340d-f20f-4863-afef-f87ef2e6ba25,Common Desktop,,,Desktop,dfdf76a2-c82a-4d63-906a-5644ac457385
ed4824af-dce4-45a8-81e2-fc7965083634,Common Documents,,,Documents,dfdf76a2-c82a-4d63-906a-5644ac457385
0139d44e-6afe-49f2-8690-3dafcae6ffb8,Common Programs,,,Programs,a4115719-d62e-491d-aa7c-e74b8be3b067
